nome,cognome
Umberto,Eco
George,Orwell
J.R.R.,Tolkien
Yuval Noah,Harari
Dan,Brown
Paulo,Coelho
Jane,Austen
J.K.,Rowling
Antoine de,Saint-Exupéry
Herman,Melville
Miguel de,Cervantes
Lev,Tolstoj
Omero, sconosciuto
Emily,Brontë
Alessandro,Manzoni
Franz,Kafka
Fëdor,Dostoevskij
Isaac,Asimov
Frank,Herbert
William,Gibson
Aldous,Huxley
Ray,Bradbury
F. Scott,Fitzgerald
James,Joyce
Dante,Alighieri
Giuseppe Tomasi di,Lampedusa
George R.R.,Martin
Michail,Bulgakov
Ernest,Hemingway
Gabriel García,Márquez
Bram,Stoker
Mary,Shelley
Albert,Camus
Hermann,Hesse
Friedrich,Nietzsche
Immanuel,Kant
Niccolò,Machiavelli
Sun,Tzu
Clarissa Pinkola,Estés
Sigmund,Freud
Italo,Svevo
Primo,Levi
Elsa,Morante
