titolo,sottotitolo,autore,editore,anno_pubblicazione,ISBN10,ISBN13,formati,prezzo,prezzo_originale,stock,copertina_url,valutazione_media,numero_recensioni,categoria,tags,Descrizione
"Il Nome della Rosa","Edizione Speciale","Umberto Eco","Bompiani",1980,"8845207056","978-8845207051","Cartaceo|E-book",12.75,15.00,45,"https://picsum.photos/seed/1/400/600",4.8,1250,"Narrativa","Storico|Mistero","Un giallo medievale in un'abbazia isolata."
"1984","Edizione Integrale","George Orwell","Mondadori",1949,"8804668233","978-8804668237","Cartaceo|E-book|Audiobook",10.20,12.00,120,"https://picsum.photos/seed/2/400/600",4.9,3500,"Distopia","Politica|Classico","Il capolavoro sul controllo totale."
"Il Signore degli Anelli","La Compagnia dell'Anello","J.R.R. Tolkien","Bompiani",1954,"8845292614","978-8845292613","Cartaceo|Audiobook",21.25,25.00,30,"https://picsum.photos/seed/3/400/600",5.0,5000,"Fantasy","Epico|Avventura","L'inizio del viaggio di Frodo."
"Sapiens","Da animali a dèi","Yuval Noah Harari","Bompiani",2011,"8845296490","978-8845296499","Cartaceo|E-book",15.30,18.00,85,"https://picsum.photos/seed/4/400/600",4.7,2100,"Saggistica","Scienza|Storia","La storia dell'umanità spiegata."
"Il Codice da Vinci","","Dan Brown","Mondadori",2003,"8804523006","978-8804523000","Cartaceo|E-book",9.90,14.50,200,"https://picsum.photos/seed/5/400/600",4.2,15000,"Thriller","Mistero|Religione","Un omicidio al Louvre svela un segreto."
"L'Alchimista","","Paulo Coelho","Bompiani",1988,"8845265471","978-8845265471","Cartaceo|Audiobook",11.00,11.00,50,"https://picsum.photos/seed/6/400/600",4.5,8000,"Narrativa","Spirituale|Viaggio","Il viaggio verso le piramidi."
"Orgoglio e Pregiudizio","","Jane Austen","Einaudi",1813,"8806225436","978-8806225438","Cartaceo|E-book",8.50,10.00,15,"https://picsum.photos/seed/7/400/600",4.8,4200,"Classico","Romanzo|Amore","La storia di Elizabeth Bennet."
"Harry Potter 1","La Pietra Filosofale","J.K. Rowling","Salani",1997,"8867155956","978-8867155958","Cartaceo|E-book|Audiobook",13.60,16.00,300,"https://picsum.photos/seed/8/400/600",4.9,25000,"Fantasy","Magia|Ragazzi","Il ragazzo che è sopravvissuto."
"Il Piccolo Principe","","Antoine de Saint-Exupéry","Bompiani",1943,"8845296539","978-8845296536","Cartaceo",7.65,9.00,500,"https://picsum.photos/seed/9/400/600",4.9,12000,"Ragazzi","Poesia|Favola","Un pilota cade nel deserto."
"Moby Dick","La Balena Bianca","Herman Melville","Adelphi",1851,"8845915441","978-8845915444","Cartaceo|Audiobook",18.70,22.00,12,"https://picsum.photos/seed/10/400/600",4.5,900,"Classico","Avventura|Mare","La caccia folle del Capitano Achab."
"Don Chisciotte","","Miguel de Cervantes","Einaudi",1605,"8806223123","978-8806223120","Cartaceo",24.00,24.00,8,"https://picsum.photos/seed/11/400/600",4.6,1100,"Classico","Satira|Cavalleria","Le avventure del cavaliere errante."
"Guerra e Pace","","Lev Tolstoj","Garzanti",1869,"8811364512","978-8811364510","Cartaceo|E-book",19.55,23.00,20,"https://picsum.photos/seed/12/400/600",4.7,2100,"Classico","Storico|Russia","Le vicende di cinque famiglie ruse."
"Odissea","","Omero","Mondadori",-800,"8804685412","978-8804685410","Cartaceo|Audiobook",11.05,13.00,40,"https://picsum.photos/seed/13/400/600",4.8,3000,"Epica","Mitologia|Viaggio","Il ritorno di Ulisse a Itaca."
"Iliade","","Omero","Einaudi",-750,"8806235412","978-8806235415","Cartaceo",12.75,15.00,35,"https://picsum.photos/seed/14/400/600",4.7,2800,"Epica","Guerra|Mitologia","L'ira di Achille."
